User,Date,Tweet,Permalink,Retweet count,Likes count,Tweet value
World Health Organization (WHO),11/3/2020 16:16:33,Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/aPFXT3ex5y,https://www.twitter.com/user/status/1237774421307228160,8186,8929,11815.89
World Health Organization (WHO),1/3/2020 12:39:34,"When to use mask 😷
• If you are healthy, you only need to wear a mask if you are taking care of a person with suspected #coronavirus infection.
• Wear a mask if you are coughing or sneezing 

More https://t.co/4odGgqxAKP

#COVID19 https://t.co/1aM8MyaSmF",https://www.twitter.com/user/status/1234095938555260929,7036,6411,14179.04
World Health Organization (WHO),13/3/2020 18:34:27,Stay safe and be respectful to each other. #COVID19 #coronavirus 🌍,https://www.twitter.com/user/status/1238533899573231616,6305,14910,10741.71
World Health Organization (WHO),2/3/2020 21:50:45,"When talking about #COVID19, certain words &amp; language may have a negative meaning for people and fuel stigmatizing attitudes https://t.co/yShiCMfYF3 

#coronavirus https://t.co/d54qL4LY2H",https://www.twitter.com/user/status/1234597035275362309,5830,13465,14179.06
World Health Organization (WHO),14/3/2020 13:11:05,"#MentalHealth and psychosocial considerations during
#COVID19 outbreak 👉https://t.co/brPm9JlAWH 

#coronavirus https://t.co/LATkpQVaGh",https://www.twitter.com/user/status/1238814909275799558,5072,8154,14179.06
World Health Organization (WHO),5/3/2020 6:03:17,"We are eight weeks into this #COVID19 outbreak: yet we have identified the virus, we have the genetic sequence, PCR &amp; serological assay in use. This wealth of knowledge is unprecedented for a new disease.

#coronavirus https://t.co/dNAlepnEek",https://www.twitter.com/user/status/1235445761195696131,5006,9911,12890.05
World Health Organization (WHO),27/1/2020 14:22:32,"Q: Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)?
A: No, antibiotics do not work against viruses, only bacteria.
The 2019-nC0V is a virus and, therefore, antibiotics should  not be used as a means of prevention or treatment. https://t.co/F6qMz0ojoh",https://www.twitter.com/user/status/1221800661039419398,4948,5261,12890.08
World Health Organization (WHO),25/1/2020 23:27:40,"WHO’s risk assessment of the new #coronavirus (2019-nCoV) situation has not changed:
🔺very high in #China🇨🇳
🔺high at the regional level
🔺moderate at the global level

WHO’s situation report 25 January 2020 https://t.co/HpjfIe2p7d https://t.co/9FjyRCMxJd",https://www.twitter.com/user/status/1221213073652043776,4868,4338,14179.08
World Health Organization (WHO),11/3/2020 16:29:20,"""81 countries have not reported any #COVID19 cases, and 57 countries have reported 10 cases or less.

We cannot say this loudly enough, or clearly enough, or often enough: all countries can still change the course of this pandemic""-@DrTedros #coronavirus",https://www.twitter.com/user/status/1237777639785533442,4856,9248,2148.34
World Health Organization (WHO),11/3/2020 16:29:47,"""If countries detect, test, treat, isolate, trace, and mobilize their people in the response, those with a handful of #COVID19 cases can prevent those cases becoming clusters, and those clusters becoming community transmission""-@DrTedros #coronavirus",https://www.twitter.com/user/status/1237777750393597952,4817,8385,2148.34
World Health Organization (WHO),28/2/2020 15:46:06,"@DrTedros @WHOWPRO @pahowho @WHO_Europe @WHOAFRO @WHOEMRO @WHOSEARO ""🔟 it’s normal &amp; understandable to feel anxious, especially if you live in a country or community that has been affected. Find out what you can do in your community. Discuss how to stay safe with your workplace, school or place of worship""-@DrTedros #COVID19 #coronavirus https://t.co/M4BQzpdh2j",https://www.twitter.com/user/status/1233418103406628865,4785,12495,2578.01
World Health Organization (WHO),16/3/2020 15:48:51,Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/VkQTd7Lud8,https://www.twitter.com/user/status/1239579390788292608,4737,5705,11815.88
World Health Organization (WHO),20/1/2020 17:54:10,"BREAKING: WHO Director-General @DrTedros will convene an Emergency Committee on the novel #coronavirus (2019-nCoV) under the International Health Regulations. 
The Committee will meet on Wednesday, 22 January 2020. https://t.co/w3w7ZuoTeG",https://www.twitter.com/user/status/1219317208205209600,4336,5766,12890.06
World Health Organization (WHO),7/3/2020 19:17:28,"As of today’s reports, global number of #COVID19 confirmed cases has surpassed 100K.
WHO reminds all countries &amp; communities that the spread of this #coronavirus can be significantly slowed or even reversed through robust containment &amp; control activities https://t.co/7jTx7fJyIw https://t.co/fLxLDOtxCH",https://www.twitter.com/user/status/1236370398410952709,3658,6109,14179.07
World Health Organization (WHO),11/3/2020 16:28:49,"""Of the 118,000 #COVID19 cases reported globally in 114 countries, more than 90 percent of cases are in just four countries, and two of those – 🇨🇳 and 🇰🇷 - have significantly declining epidemics""-@DrTedros #coronavirus",https://www.twitter.com/user/status/1237777507304329216,3357,6903,2148.34
World Health Organization (WHO),19/1/2020 22:39:07,"#China🇨🇳 has reported to WHO 139 new cases of the novel #coronavirus (2019-nCoV) in #Wuhan, #Beijing and #Shenzhen over the past two days.
This is the result of increased searching and testing for 2019-nCoV among people sick with respiratory illness. https://t.co/qAuaFzYmXH",https://www.twitter.com/user/status/1219026530636091392,3333,4006,12890.10
World Health Organization (WHO),27/2/2020 14:01:58,"@DrTedros ""We are at a decisive point.

For the past 2 days, the number of new #COVID19 cases reported in the rest of the 🌍 has exceeded the number of new cases in 🇨🇳. 

And in the past 24h, 7 countries have reported cases for the first time: 🇧🇷, 🇬🇪, 🇬🇷, 🇲🇰, 🇳🇴, 🇵🇰 &amp; 🇷🇴""-@DrTedros",https://www.twitter.com/user/status/1233029510007836672,3256,4919,2148.34
World Health Organization (WHO),1/2/2020 9:04:52,"@WHOWPRO @WHOSEARO @WHO_Europe @pahowho @WHOEMRO @WHOAFRO Q: Is it safe to receive a letter or a package from China?
A: Yes, it is safe. People receiving packages from China are not at risk of contracting #2019nCoV.
From previous analysis, we know coronaviruses do not survive long on objects, such as letters or packages.

#KnowTheFacts https://t.co/RBBqjkd5JQ",https://www.twitter.com/user/status/1223532656778010624,3233,2859,2578.02
World Health Organization (WHO),11/3/2020 16:27:30,"""Describing the situation as a pandemic does not change WHO’s assessment of the threat posed by this #coronavirus. It doesn’t change what WHO is doing, and it doesn’t change what countries should do""-@DrTedros #COVID19",https://www.twitter.com/user/status/1237777176159817730,3216,7111,2148.34
World Health Organization (WHO),7/3/2020 18:06:11,"NEW: WHO interim guidance on critical preparedness, readiness and response actions for #COVID19 https://t.co/4QQ7VcQPe4

#coronavirus https://t.co/4hpP6I0oIk",https://www.twitter.com/user/status/1236352461088198656,2885,4070,14179.07
World Health Organization (WHO),29/1/2020 16:01:18,Live from Geneva on the new #coronavirus outbreak https://t.co/f2fNWxSQHu,https://www.twitter.com/user/status/1222550294942191623,2880,3108,11815.90
World Health Organization (WHO),11/3/2020 16:37:46,"""There’s been so much attention on one word. 

Let me give you some other words that matter much more, &amp; that are much more actionable:

Prevention.

Preparedness.

Public health.

Political leadership.

And most of all, People""-@DrTedros #COVID19 #coronavirus",https://www.twitter.com/user/status/1237779762728271872,2872,4605,2148.34
World Health Organization (WHO),11/2/2020 8:41:14,"On #WomenInScience Day, 
👩‍⚕️👩🏾‍🎓👩🏽‍🔬👩🏻‍💻👩🏿‍🏫

We celebrate all the women who have had a pioneering role in advancing science and health.

👉https://t.co/qKzBSfjmp2 https://t.co/LZZUkuEIRZ",https://www.twitter.com/user/status/1227150588665892865,2806,4940,14179.10
World Health Organization (WHO),28/2/2020 15:35:23,"""Everyone should know the #COVID19 symptoms – for most people, it starts with a fever and a dry cough, not a runny nose. Most people will have mild disease and get better without needing any special care""-@DrTedros #coronavirus 

https://t.co/xeC9j0c6Ra",https://www.twitter.com/user/status/1233415409296117760,2805,3120,2363.18
World Health Organization (WHO),13/3/2020 23:07:41,"A proper #dab (covering your mouth and nose with the bend of your elbow) when you cough and sneeze is a good practice to protect yourself and others from #COVID19.  

Thank you for your support, @paulpogba. #coronavirus https://t.co/dEYxvX540M",https://www.twitter.com/user/status/1238602662897225728,2715,5362,12890.05
World Health Organization (WHO),2/3/2020 22:18:40,"DO - talk about the new #coronavirus disease (#COVID19)

DON'T - attach locations or ethnicity to the disease, this is not a “Wuhan Virus”, “Chinese Virus” or “Asian Virus”.
The official name for the disease was deliberately chosen to avoid stigmatization

https://t.co/yShiCMfYF3 https://t.co/belHrq5HVo",https://www.twitter.com/user/status/1234604060420005888,2689,5030,2835.81
World Health Organization (WHO),17/1/2020 17:53:32,"Q: What is a #coronavirus?

A: Coronaviruses are a large family of viruses that are known to cause illness ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS) https://t.co/PKzKaO2yfK https://t.co/mhEa7LFVhx",https://www.twitter.com/user/status/1218229883484155913,2539,2644,14179.10
World Health Organization (WHO),22/1/2020 19:50:46,LIVE: Press conference on the Emergency Committee meeting on new #coronavirus (2019-nCoV) https://t.co/8WOYQk9Scf,https://www.twitter.com/user/status/1220071324405514240,2498,2898,11815.89
World Health Organization (WHO),7/3/2020 23:03:22,"Today is International #WomensDay!
👩🏻👧🏿👧👵🏼👩‍⚕️🧕🏽👩🏾‍🎓👩🏽‍🔬👩🏻‍💻👩🏿‍🏫👱🏻‍♀️

We call for a 🌎🌍🌏 where every woman and girl has access to affordable quality health services.

It's time for #HealthForAll. https://t.co/Hl4aPHsswM",https://www.twitter.com/user/status/1236427248384819203,2493,5843,12890.06
World Health Organization (WHO),11/3/2020 16:32:19,"""All countries must strike a fine balance between protecting health, minimizing economic &amp; social disruption &amp; respecting human rights""-@DrTedros #COVID19 #coronavirus",https://www.twitter.com/user/status/1237778387688730627,2466,4608,2148.34
World Health Organization (WHO),28/2/2020 15:30:57,"@DrTedros ""There are 10 basic things that you should know.

1⃣clean your 👐 regularly with an alcohol-based hand rub, or wash them with 🧼 &amp; 💧.

Touching your face after touching contaminated surfaces or sick people is one of the ways the #coronavirus can be transmitted""-@DrTedros https://t.co/Ty8J0zoGKS",https://www.twitter.com/user/status/1233414293158334464,2450,2285,2578.01
World Health Organization (WHO),3/3/2020 16:04:23,"@DrTedros ""Globally, about 3.4% of reported #COVID19 cases have died. By comparison, seasonal flu generally kills far fewer than 1% of those infected""-@DrTedros #coronavirus",https://www.twitter.com/user/status/1234872254883909642,2444,2391,2148.34
World Health Organization (WHO),16/3/2020 15:56:05,"""We have seen a rapid escalation in social distancing measures, like closing schools &amp; cancelling sporting events &amp; other gatherings. But we haven't seen an urgent enough escalation in testing, isolation &amp; contact tracing, which is the backbone of the #COVID19 response""-@DrTedros",https://www.twitter.com/user/status/1239581208658444290,2351,3253,2148.34
World Health Organization (WHO),28/2/2020 18:01:35,"NEW: WHO guidance on how to prevent the spread of #COVID19 in a workplace to protect your customers, contractors and employees

https://t.co/Du86YZYvxd

#coronavirus https://t.co/HJ8JYu2JLr",https://www.twitter.com/user/status/1233452201403731968,2324,2717,14179.06
World Health Organization (WHO),11/3/2020 16:28:10,"""We have called every day for countries to take urgent and aggressive action.

We have rung the alarm bell loud and clear""-@DrTedros #COVID19 #coronavirus",https://www.twitter.com/user/status/1237777345987194880,2285,3834,2148.34
World Health Organization (WHO),11/3/2020 16:26:40,"""WHO has been assessing this outbreak around the clock and we are deeply concerned both by the alarming levels of spread and severity, and by the alarming levels of inaction""-@DrTedros #COVID19",https://www.twitter.com/user/status/1237776967526764544,2276,3257,2148.34
World Health Organization (WHO),17/1/2020 20:30:40,"Q: What can I do to protect myself from #coronavirus?

A: https://t.co/PKzKaO2yfK https://t.co/eNhlhR0PEq",https://www.twitter.com/user/status/1218269428166602753,2217,2164,2835.82
World Health Organization (WHO),11/3/2020 16:28:00,"""We have never before seen a pandemic sparked by a #coronavirus. 

And we have never before seen a pandemic that can be controlled at the same time. 

WHO has been in full response mode since we were notified of the first cases""-@DrTedros #COVID19",https://www.twitter.com/user/status/1237777304656449538,2184,3762,2148.34
World Health Organization (WHO),13/3/2020 15:52:14,Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/7c1xCs0SJs,https://www.twitter.com/user/status/1238493078756798464,2138,2736,11815.88
World Health Organization (WHO),11/3/2020 16:36:18,"""I remind all countries that we are calling on you to (1):
-activate &amp; scale up your emergency response mechanisms
-communicate with your people about the risks &amp; how they can protect themselves
-find, isolate, test &amp; treat every #COVID19 case &amp; trace every contact""-@DrTedros",https://www.twitter.com/user/status/1237779391771443205,2084,3174,2148.34
World Health Organization (WHO),23/1/2020 18:19:19,LIVE: Press conference on the Emergency Committee meeting on new #coronavirus (2019-nCoV) https://t.co/9bWEOJfLZK,https://www.twitter.com/user/status/1220410701354807297,2059,1976,11815.89
World Health Organization (WHO),11/3/2020 16:30:31,"“Some countries are struggling with a lack of capacity.
 
Some countries are struggling with a lack of resources.
 
Some countries are struggling with a lack of resolve.”-@DrTedros #COVID19 #coronavirus",https://www.twitter.com/user/status/1237777935412736000,2029,3829,2148.34
World Health Organization (WHO),16/3/2020 15:57:02,"""But the most effective way to prevent infections &amp; save lives is breaking the chains of #COVID19 transmission. To do that, you must test &amp; isolate. 

You cannot fight a fire blindfolded. And we cannot stop this pandemic if we don’t know who is infected""-@DrTedros #coronavirus",https://www.twitter.com/user/status/1239581451022196740,2018,2521,2148.34
World Health Organization (WHO),15/3/2020 11:36:08,"Updated #COVID19 clinical guidance covers: 
🔹Early case recognition
🔹Guidance for care of children, pregnant women, adults &amp; older people
🔹Managing cases 
🔹Infection prevention &amp; control
🔹Sample collection &amp; an update on investigational therapeutics
👉https://t.co/ZVaiu2C19V https://t.co/yyOzIbtbEO",https://www.twitter.com/user/status/1239153402065682433,1980,3034,14179.06
World Health Organization (WHO),27/1/2020 15:31:22,LIVE: Q&amp;A on novel coronavirus (2019-nCoV) https://t.co/keFOCZGA8u,https://www.twitter.com/user/status/1221817985196679169,1894,2032,11815.90
World Health Organization (WHO),27/1/2020 20:33:11,"In outbreaks of other #coronaviruses (MERS &amp; SARS), person-to-person transmission occurred through droplets, contact and fomites, suggesting that the transmission mode of the 2019-nCoV can be similar

WHO Situation Report 27 January 2020 https://t.co/l1vODXEyD3 https://t.co/vuNl64gZnm",https://www.twitter.com/user/status/1221893940019941381,1883,1869,14179.08
World Health Organization (WHO),16/3/2020 16:00:07,"""People infected with #COVID19 can still infect others after they stop feeling sick, so these measures should continue for at least 2 weeks after symptoms disappear.

Visitors should not be allowed until the end of this period.

There are more details in WHO’s guidance""-@DrTedros",https://www.twitter.com/user/status/1239582223810072576,1873,2027,2148.34
World Health Organization (WHO),5/3/2020 11:44:44,"WHO is mobilizing the 🌍🌏🌎 to help all people Be Ready for the new #coronavirus. We are calling on our partners &amp; people in all countries to join us in taking the actions needed to Be Safe, Smart &amp; Kind to fight #COVID19. Learn more at https://t.co/M11m4O5zF2",https://www.twitter.com/user/status/1235531688501030913,1867,3000,11815.88
World Health Organization (WHO),26/1/2020 16:49:08,"GREAT NEWS!
The editors of major scientific journals have agreed to share any papers about the new #coronavirus (2019-nCoV) with WHO before publication, with authors’ consent.
This is important to inform our assessment of the situation, our guidance to countries and actions. https://t.co/ooYvWTvefn",https://www.twitter.com/user/status/1221475167869833217,1857,3756,12890.08
World Health Organization (WHO),9/3/2020 16:14:11,LIVE: Daily media briefing on #COVID19 with @DrTedros #coronavirus https://t.co/cN3WfNcsyd,https://www.twitter.com/user/status/1237049051058561024,1826,2317,11815.87
World Health Organization (WHO),7/3/2020 15:27:44,"#COVID19 vs influenza: both cause respiratory
disease, yet there are important differences between the two viruses and how they spread.

More 👉🏼 WHO Situation Report 6 March 2020 https://t.co/ALKwGrSNK0 

#coronavirus https://t.co/UGGHiUFL5a",https://www.twitter.com/user/status/1236312584988561408,1774,2419,14179.07
World Health Organization (WHO),12/3/2020 8:16:39,"“We must push countries, all of us to fight as hard as they can to suppress this coronavirus. By doing so, you are saving lives. By doing so you’re buying more time for your hospitals to prepare. So do everything you can to be as aggressive as you can ...” - Dr @mvankerkhove https://t.co/PDLqvVkr4C",https://www.twitter.com/user/status/1238016037548896256,1756,2721,2578.01
World Health Organization (WHO),11/3/2020 16:36:18,"""I remind all countries that we are calling on you to (2):
-ready your hospitals
-protect and train your #healthworkers
-let’s all look out for each other""-@DrTedros #COVID19 #coronavirus",https://www.twitter.com/user/status/1237779393424109568,1730,2778,2148.34
World Health Organization (WHO),5/2/2020 23:03:32,"Today is the International Day of Zero Tolerance for Female Genital Mutilation (FGM).

At least 200 MILLION women and girls alive today have suffered FGM in 30 countries for which we have data.

Let's #EndFGM! 

👉 https://t.co/qbbOakGfch https://t.co/KX201hjFMt",https://www.twitter.com/user/status/1225193268188712962,1728,2389,14179.10
World Health Organization (WHO),14/3/2020 14:18:51,"Minimize watching, reading or listening to #COVID19 news that causes you to feel anxious or distressed.

Seek information only from trusted sources and mainly to take practical steps to prepare your plans and protect yourself and loved ones https://t.co/brPm9JlAWH

#coronavirus https://t.co/yAgwC0eZTZ",https://www.twitter.com/user/status/1238831964616118272,1704,2392,2835.81
World Health Organization (WHO),3/2/2020 23:34:21,"It's #WorldCancerDay

DYK: In 2018, over 18 MILLION people around 🌏🌍🌎 had #cancer, and 10 MILLION people died from the disease.

https://t.co/4LFMaV6OqH

Let's beat cancer!

Let's beat cancer!

Let's beat cancer!

Let's beat cancer!

Let's beat cancer! https://t.co/C2GEHiSQZA",https://www.twitter.com/user/status/1224476248589709312,1680,2556,14179.07
World Health Organization (WHO),26/1/2020 23:48:27,"WHO is working with networks of specialists to analyze 2019-nCoV full genome sequences as they become available.
We have not received evidence that the virus has changed. We await further information from 🇨🇳 officials.
Situation report 26 Jan https://t.co/DAIdpqarKO

#coronavirus https://t.co/wHvEBpdlrO",https://www.twitter.com/user/status/1221580693978996736,1678,2170,14179.08
World Health Organization (WHO),11/3/2020 17:11:56,"WHO interim guidance on critical preparedness, readiness and response actions for #COVID19 

More https://t.co/4QQ7VcQPe4

#coronavirus https://t.co/H2hxC9cE66",https://www.twitter.com/user/status/1237788360770498561,1609,2348,2835.81
World Health Organization (WHO),28/2/2020 15:21:19,LIVE daily media briefing on #COVID19 with @DrTedros #coronavirus https://t.co/Uuup642t9d,https://www.twitter.com/user/status/1233411869110460416,1607,1856,11815.88
World Health Organization (WHO),30/1/2020 22:12:36,"Previously, there have been 5 public health emergencies of international concern declared:
🚨 2009 H1N1
🚨 2014 polio
🚨 2014 Ebola in West Africa 
🚨 2016 Zika
🚨 2019 Ebola in the Democratic Republic of the Congo https://t.co/HENllDwOSx",https://www.twitter.com/user/status/1223006121872494593,1597,1721,2578.02
World Health Organization (WHO),11/3/2020 16:25:58,"""In the past two weeks, the number of cases of #COVID19 outside 🇨🇳 has increased 13-fold &amp; the number of affected countries has tripled. 

There are now more than 118,000 cases in 114 countries, &amp; 4,291 people have lost their lives""-@DrTedros #coronavirus",https://www.twitter.com/user/status/1237776790157963267,1594,2059,2148.34
World Health Organization (WHO),2/3/2020 6:59:49,"The most commonly reported #COVID19 symptoms incl. fever, dry cough, and shortness of
breath. Most patients (80%) experienced mild illness. Approximately 14% experienced severe disease &amp; 5% were critically ill.

WHO Situation Report 1 March https://t.co/QEXoew8lJP

#coronavirus https://t.co/ST2eSCAesI",https://www.twitter.com/user/status/1234372822509785088,1556,1827,14179.04
World Health Organization (WHO),14/3/2020 9:24:56,"How to handwash?

Use 🧼 and 💦 for at least 40-60 seconds

#SafeHands #coronavirus #COVID19 https://t.co/HdPFtTW32j",https://www.twitter.com/user/status/1238757997595299840,1551,2008,2578.01
World Health Organization (WHO),29/1/2020 15:53:59,🚨 BREAKING 🚨 https://t.co/5oGSOIEQnJ,https://www.twitter.com/user/status/1222548451017285638,1544,1803,11815.90
World Health Organization (WHO),1/2/2020 17:29:43,"Asymptomatic #2019nCoV infection may be rare, and transmission from an asymptomatic person is very rare with other coronaviruses, as we have seen with MERS. Thus, transmission from asymptomatic cases is likely not a major driver of transmission https://t.co/5gEHSOGO7H https://t.co/Zh8ifwP4XA",https://www.twitter.com/user/status/1223659708072038400,1514,1990,14179.08
World Health Organization (WHO),3/2/2020 19:59:03,"WHO has developed a dashboard for the #2019nCoV with the number of confirmed cases globally, which includes cases in #China🇨🇳 by provinces, regions and cities, as well as confirmed cases outside China by country

WHO Situation Report 3 February 2020 https://t.co/JWMbViqhxt https://t.co/Mn9vn1s3Gy",https://www.twitter.com/user/status/1224422062845984768,1493,2039,14179.07
World Health Organization (WHO),11/3/2020 16:31:22,"""We are grateful for the measures being taken in 🇮🇷, 🇮🇹 and 🇰🇷 to slow the virus and control their #COVID19 epidemics. 

We know that these measures are taking a heavy toll on societies and economies, just as they did in 🇨🇳""-@DrTedros #coronavirus",https://www.twitter.com/user/status/1237778149028638723,1432,3436,2148.34
World Health Organization (WHO),13/1/2020 17:18:42,"WHO's list of urgent global health challenges for the new decade:
Climate
Conflict
Inequality
Access to 💊
Infectious diseases
Epidemics
Harmful products
Health workers
Adolescent health
Public trust
New technologies
Antibiotic resistance
Clean health care
https://t.co/dKQEMFNZug https://t.co/uQBkCwY8FR",https://www.twitter.com/user/status/1216771566656282626,1430,2090,14179.10
World Health Organization (WHO),8/3/2020 8:04:02,"How to manage #COVID19 risk when organizing meetings &amp; events https://t.co/Ryt0GD1I06

#coronavirus https://t.co/gIKua3qGui",https://www.twitter.com/user/status/1236563313674371072,1427,2073,14179.07
World Health Organization (WHO),11/3/2020 16:38:22,"""We’re in this together, to do the right things with calm and protect the citizens of the world. It’s doable""-@DrTedros #COVID19 #coronavirus",https://www.twitter.com/user/status/1237779912263700486,1421,2936,2148.34
World Health Organization (WHO),11/3/2020 16:32:43,"""This is not just a public health crisis, it is a crisis that will touch every sector – so every sector and every individual must be involved in the fight""-@DrTedros #COVID19 #coronavirus",https://www.twitter.com/user/status/1237778490746945541,1419,2246,2148.34
World Health Organization (WHO),30/1/2020 19:44:37,"@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHO_Europe @WHOEMRO @WHOAFRO ""Our greatest concern is the potential for the virus to spread to countries with weaker health systems, and which are ill-prepared to deal with it""-@DrTedros #2019nCoV",https://www.twitter.com/user/status/1222968882555768834,1415,1791,2148.35
World Health Organization (WHO),13/2/2020 10:57:54,"#Condoms, when used correctly and consistently, are safe and highly effective in:
🤰🏾preventing unwanted pregnancy
🛡️preventing sexually transmitted infections, including HIV 

#WorldCondomDay https://t.co/YYCffIH5au",https://www.twitter.com/user/status/1227909758310666240,1378,2667,12890.09
World Health Organization (WHO),11/3/2020 16:30:03,"“Even those countries with community transmission or large clusters can turn the tide on this #coronavirus.
 
Several countries have demonstrated that this virus can be suppressed and controlled.”-@DrTedros #COVID19",https://www.twitter.com/user/status/1237777817913495557,1370,2706,2148.34
World Health Organization (WHO),20/1/2020 10:52:46,"If you think you have #depression, talk to someone you trust &amp; seek professional help 👉 https://t.co/g7TGLh519R 

Depression is the leading cause of disability worldwide. #LetsTalk https://t.co/60C6Ic3kcq",https://www.twitter.com/user/status/1219211157984116736,1370,2087,14179.11
World Health Organization (WHO),13/3/2020 15:56:47,"""Europe has now become the epicenter of the #COVID19 pandemic, with more reported cases and deaths than the rest of the world combined, apart from #China.

More cases are now being reported every day than were reported in 🇨🇳 at the height of its epidemic""-@DrTedros #coronavirus",https://www.twitter.com/user/status/1238494220807213057,1364,1339,2148.34
World Health Organization (WHO),6/3/2020 13:51:16,"FACT: Taking a hot bath does not prevent the new #coronavirus disease
Taking a hot bath with extremely hot water can be harmful as it can burn you.

👉🏽https://t.co/TdKoGmWrIr 

#COVID19 #KnowtheFacts https://t.co/OXI89XNcx2",https://www.twitter.com/user/status/1235925922232102914,1344,2185,14179.07
World Health Organization (WHO),29/2/2020 19:23:12,"On 28 February, WHO raised the risk assessment for the #COVID19 outbreak internationally from “high” to “very high.”

#coronavirus 

https://t.co/Opqi73eCdv",https://www.twitter.com/user/status/1233835127509258241,1340,1507,11815.87
World Health Organization (WHO),9/3/2020 16:17:18,"""Now that the #coronavirus has a foothold in so many countries, the threat of a pandemic has become very real.

But it would be the first pandemic in history that could be controlled.

The bottom line is: we are not at the mercy of this virus""-@DrTedros #COVID19",https://www.twitter.com/user/status/1237049835099959302,1312,1947,2148.34
World Health Organization (WHO),13/3/2020 15:58:12,"""Our message to countries continues to be: you must take a comprehensive approach. 

Not testing alone. Not contact tracing alone. Not quarantine alone. Not social distancing alone. Do it all""-@DrTedros #COVID19 #coronavirus",https://www.twitter.com/user/status/1238494581206941696,1304,1662,2148.34
World Health Organization (WHO),11/3/2020 16:30:17,“The challenge for many countries who are now dealing with large #COVID19 clusters or community transmission is not whether they can do the same – it’s whether they will”-@DrTedros #Coronavirus,https://www.twitter.com/user/status/1237777876759519232,1292,2444,2148.34
World Health Organization (WHO),6/2/2020 15:59:00,"#Depression is a leading cause of disability worldwide.

Depression can be treated. 

The first step is talking #LetsTalk

#TimeToTalk 
https://t.co/1T4UrXtAsJ https://t.co/rSP7hMwN4T",https://www.twitter.com/user/status/1225448818067546117,1263,1987,14179.08
